lucode,code,nlud_simple_class,nlud_simple_subclass,simple_nlud,nlcd,nlcd_lulc,nlcd_colors,tree,tree_canopy_cover,tree_colors,urban_nature,search_radius_m
22,001242,Waterbody,Natural,1,24,"Developed, High Intensity",#AA0000,2,medium,#a1d99b,0,2230
23,001243,Waterbody,Natural,1,24,"Developed, High Intensity",#AA0000,3,high,#31a354,1,2230
24,001310,Waterbody,Natural,1,31,Barren Land (Rock/Sand/Clay),#B2ADA3,0,none,#ffffff,0,2230
25,001311,Waterbody,Natural,1,31,Barren Land (Rock/Sand/Clay),#B2ADA3,1,low,#e5f5e0,0,2230
26,001312,Waterbody,Natural,1,31,Barren Land (Rock/Sand/Clay),#B2ADA3,2,medium,#a1d99b,0,2230
27,001313,Waterbody,Natural,1,31,Barren Land (Rock/Sand/Clay),#B2ADA3,3,high,#31a354,1,2230
28,001410,Waterbody,Natural,1,41,Deciduous Forest,#68AA63,0,none,#ffffff,1,2230
29,001411,Waterbody,Natural,1,41,Deciduous Forest,#68AA63,1,low,#e5f5e0,1,2230
30,001412,Waterbody,Natural,1,41,Deciduous Forest,#68AA63,2,medium,#a1d99b,1,2230
31,001413,Waterbody,Natural,1,41,Deciduous Forest,#68AA63,3,high,#31a354,1,2230
32,001420,Waterbody,Natural,1,42,Evergreen Forest,#1C6330,0,none,#ffffff,1,2230
33,001421,Waterbody,Natural,1,42,Evergreen Forest,#1C6330,1,low,#e5f5e0,1,2230
34,001422,Waterbody,Natural,1,42,Evergreen Forest,#1C6330,2,medium,#a1d99b,1,2230
35,001423,Waterbody,Natural,1,42,Evergreen Forest,#1C6330,3,high,#31a354,1,2230
36,001430,Waterbody,Natural,1,43,Mixed Forest,#B5C98E,0,none,#ffffff,1,2230
37,001431,Waterbody,Natural,1,43,Mixed Forest,#B5C98E,1,low,#e5f5e0,1,2230
38,001432,Waterbody,Natural,1,43,Mixed Forest,#B5C98E,2,medium,#a1d99b,1,2230
39,001433,Waterbody,Natural,1,43,Mixed Forest,#B5C98E,3,high,#31a354,1,2230
40,001510,Waterbody,Natural,1,51,Dwarf Scrub,#A58C30,0,none,#ffffff,0,
41,001511,Waterbody,Natural,1,51,Dwarf Scrub,#A58C30,1,low,#e5f5e0,0,
42,001512,Waterbody,Natural,1,51,Dwarf Scrub,#A58C30,2,medium,#a1d99b,0,
43,001513,Waterbody,Natural,1,51,Dwarf Scrub,#A58C30,3,high,#31a354,1,
44,001520,Waterbody,Natural,1,52,Scrub/Shrub,#CCBA7C,0,none,#ffffff,1,2230
45,001521,Waterbody,Natural,1,52,Scrub/Shrub,#CCBA7C,1,low,#e5f5e0,1,2230
46,001522,Waterbody,Natural,1,52,Scrub/Shrub,#CCBA7C,2,medium,#a1d99b,1,2230
47,001523,Waterbody,Natural,1,52,Scrub/Shrub,#CCBA7C,3,high,#31a354,1,2230
48,001710,Waterbody,Natural,1,71,Grassland/Herbaceous,#E2E2C1,0,none,#ffffff,1,2230
49,001711,Waterbody,Natural,1,71,Grassland/Herbaceous,#E2E2C1,1,low,#e5f5e0,1,2230
50,001712,Waterbody,Natural,1,71,Grassland/Herbaceous,#E2E2C1,2,medium,#a1d99b,1,2230
51,001713,Waterbody,Natural,1,71,Grassland/Herbaceous,#E2E2C1,3,high,#31a354,1,2230
52,001720,Waterbody,Natural,1,72,Sedge/Herbaceuous,#C9C977,0,none,#ffffff,0,
53,001721,Waterbody,Natural,1,72,Sedge/Herbaceuous,#C9C977,1,low,#e5f5e0,0,
54,001722,Waterbody,Natural,1,72,Sedge/Herbaceuous,#C9C977,2,medium,#a1d99b,0,
55,001723,Waterbody,Natural,1,72,Sedge/Herbaceuous,#C9C977,3,high,#31a354,1,
56,001730,Waterbody,Natural,1,73,Lichens,#99C147,0,none,#ffffff,0,
57,001731,Waterbody,Natural,1,73,Lichens,#99C147,1,low,#e5f5e0,0,
58,001732,Waterbody,Natural,1,73,Lichens,#99C147,2,medium,#a1d99b,0,
59,001733,Waterbody,Natural,1,73,Lichens,#99C147,3,high,#31a354,1,
60,001740,Waterbody,Natural,1,74,Moss,#77AD93,0,none,#ffffff,0,
61,001741,Waterbody,Natural,1,74,Moss,#77AD93,1,low,#e5f5e0,0,
62,001742,Waterbody,Natural,1,74,Moss,#77AD93,2,medium,#a1d99b,0,
63,001743,Waterbody,Natural,1,74,Moss,#77AD93,3,high,#31a354,1,
64,001810,Waterbody,Natural,1,81,Pasture/Hay,#DBD83D,0,none,#ffffff,0,2230
65,001811,Waterbody,Natural,1,81,Pasture/Hay,#DBD83D,1,low,#e5f5e0,0,2230
66,001812,Waterbody,Natural,1,81,Pasture/Hay,#DBD83D,2,medium,#a1d99b,0,2230
67,001813,Waterbody,Natural,1,81,Pasture/Hay,#DBD83D,3,high,#31a354,1,2230
68,001820,Waterbody,Natural,1,82,Cultivated Crops,#AA7028,0,none,#ffffff,0,2230
69,001821,Waterbody,Natural,1,82,Cultivated Crops,#AA7028,1,low,#e5f5e0,0,2230
70,001822,Waterbody,Natural,1,82,Cultivated Crops,#AA7028,2,medium,#a1d99b,0,2230
71,001823,Waterbody,Natural,1,82,Cultivated Crops,#AA7028,3,high,#31a354,1,2230
72,001900,Waterbody,Natural,1,90,Woody Wetlands,#BAD8EA,0,none,#ffffff,1,2230
73,001901,Waterbody,Natural,1,90,Woody Wetlands,#BAD8EA,1,low,#e5f5e0,1,2230
74,001902,Waterbody,Natural,1,90,Woody Wetlands,#BAD8EA,2,medium,#a1d99b,1,2230
75,001903,Waterbody,Natural,1,90,Woody Wetlands,#BAD8EA,3,high,#31a354,1,2230
76,001950,Waterbody,Natural,1,95,Emergent Herbaceous Wetlands,#70A3BA,0,none,#ffffff,1,2230
77,001951,Waterbody,Natural,1,95,Emergent Herbaceous Wetlands,#70A3BA,1,low,#e5f5e0,1,2230
78,001952,Waterbody,Natural,1,95,Emergent Herbaceous Wetlands,#70A3BA,2,medium,#a1d99b,1,2230
79,001953,Waterbody,Natural,1,95,Emergent Herbaceous Wetlands,#70A3BA,3,high,#31a354,1,2230
80,002110,Waterbody,Wetland,2,11,Open Water,#476BA0,0,none,#ffffff,0,2230
81,002111,Waterbody,Wetland,2,11,Open Water,#476BA0,1,low,#e5f5e0,0,2230
82,002112,Waterbody,Wetland,2,11,Open Water,#476BA0,2,medium,#a1d99b,0,2230
83,002113,Waterbody,Wetland,2,11,Open Water,#476BA0,3,high,#31a354,1,2230
84,002120,Waterbody,Wetland,2,12,Perennial Ice/Snow,#D1DDF9,0,none,#ffffff,0,2230
85,002121,Waterbody,Wetland,2,12,Perennial Ice/Snow,#D1DDF9,1,low,#e5f5e0,0,2230
86,002122,Waterbody,Wetland,2,12,Perennial Ice/Snow,#D1DDF9,2,medium,#a1d99b,0,2230
87,002123,Waterbody,Wetland,2,12,Perennial Ice/Snow,#D1DDF9,3,high,#31a354,1,2230
88,002210,Waterbody,Wetland,2,21,"Developed, Open Space",#DDC9C9,0,none,#ffffff,0,2230
89,002211,Waterbody,Wetland,2,21,"Developed, Open Space",#DDC9C9,1,low,#e5f5e0,0,2230
90,002212,Waterbody,Wetland,2,21,"Developed, Open Space",#DDC9C9,2,medium,#a1d99b,0,2230
91,002213,Waterbody,Wetland,2,21,"Developed, Open Space",#DDC9C9,3,high,#31a354,1,2230
92,002220,Waterbody,Wetland,2,22,"Developed, Low Intensity",#D89382,0,none,#ffffff,0,2230
93,002221,Waterbody,Wetland,2,22,"Developed, Low Intensity",#D89382,1,low,#e5f5e0,0,2230
94,002222,Waterbody,Wetland,2,22,"Developed, Low Intensity",#D89382,2,medium,#a1d99b,0,2230
95,002223,Waterbody,Wetland,2,22,"Developed, Low Intensity",#D89382,3,high,#31a354,1,2230
96,002230,Waterbody,Wetland,2,23,"Developed, Medium Intensity",#ED0000,0,none,#ffffff,0,2230
97,002231,Waterbody,Wetland,2,23,"Developed, Medium Intensity",#ED0000,1,low,#e5f5e0,0,2230
98,002232,Waterbody,Wetland,2,23,"Developed, Medium Intensity",#ED0000,2,medium,#a1d99b,0,2230
99,002233,Waterbody,Wetland,2,23,"Developed, Medium Intensity",#ED0000,3,high,#31a354,1,2230
100,002240,Waterbody,Wetland,2,24,"Developed, High Intensity",#AA0000,0,none,#ffffff,0,2230
101,002241,Waterbody,Wetland,2,24,"Developed, High Intensity",#AA0000,1,low,#e5f5e0,0,2230
102,002242,Waterbody,Wetland,2,24,"Developed, High Intensity",#AA0000,2,medium,#a1d99b,0,2230
103,002243,Waterbody,Wetland,2,24,"Developed, High Intensity",#AA0000,3,high,#31a354,1,2230
104,002310,Waterbody,Wetland,2,31,Barren Land (Rock/Sand/Clay),#B2ADA3,0,none,#ffffff,0,2230
105,002311,Waterbody,Wetland,2,31,Barren Land (Rock/Sand/Clay),#B2ADA3,1,low,#e5f5e0,0,2230
106,002312,Waterbody,Wetland,2,31,Barren Land (Rock/Sand/Clay),#B2ADA3,2,medium,#a1d99b,0,2230
107,002313,Waterbody,Wetland,2,31,Barren Land (Rock/Sand/Clay),#B2ADA3,3,high,#31a354,1,2230
108,002410,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,0,none,#ffffff,1,2230
109,002411,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,1,low,#e5f5e0,1,2230
110,002412,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,2,medium,#a1d99b,1,2230
111,002413,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,3,high,#31a354,1,2230
112,002420,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,0,none,#ffffff,1,2230
113,002421,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,1,low,#e5f5e0,1,2230
114,002422,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,2,medium,#a1d99b,1,2230
115,002423,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,3,high,#31a354,1,2230
116,002430,Waterbody,Wetland,2,43,Mixed Forest,#B5C98E,0,none,#ffffff,1,2230
117,002431,Waterbody,Wetland,2,43,Mixed Forest,#B5C98E,1,low,#e5f5e0,1,2230
118,002432,Waterbody,Wetland,2,43,Mixed Forest,#B5C98E,2,medium,#a1d99b,1,2230
119,002433,Waterbody,Wetland,2,43,Mixed Forest,#B5C98E,3,high,#31a354,1,2230
120,002510,Waterbody,Wetland,2,51,Dwarf Scrub,#A58C30,0,none,#ffffff,0,
121,002511,Waterbody,Wetland,2,51,Dwarf Scrub,#A58C30,1,low,#e5f5e0,0,
122,002512,Waterbody,Wetland,2,51,Dwarf Scrub,#A58C30,2,medium,#a1d99b,0,
123,002513,Waterbody,Wetland,2,51,Dwarf Scrub,#A58C30,3,high,#31a354,1,
124,002520,Waterbody,Wetland,2,52,Scrub/Shrub,#CCBA7C,0,none,#ffffff,1,2230
125,002521,Waterbody,Wetland,2,52,Scrub/Shrub,#CCBA7C,1,low,#e5f5e0,1,2230
126,002522,Waterbody,Wetland,2,52,Scrub/Shrub,#CCBA7C,2,medium,#a1d99b,1,2230
127,002523,Waterbody,Wetland,2,52,Scrub/Shrub,#CCBA7C,3,high,#31a354,1,2230
128,002710,Waterbody,Wetland,2,71,Grassland/Herbaceous,#E2E2C1,0,none,#ffffff,1,2230
129,002711,Waterbody,Wetland,2,71,Grassland/Herbaceous,#E2E2C1,1,low,#e5f5e0,1,2230
130,002712,Waterbody,Wetland,2,71,Grassland/Herbaceous,#E2E2C1,2,medium,#a1d99b,1,2230
131,002713,Waterbody,Wetland,2,71,Grassland/Herbaceous,#E2E2C1,3,high,#31a354,1,2230
132,002720,Waterbody,Wetland,2,72,Sedge/Herbaceuous,#C9C977,0,none,#ffffff,0,
133,002721,Waterbody,Wetland,2,72,Sedge/Herbaceuous,#C9C977,1,low,#e5f5e0,0,
134,002722,Waterbody,Wetland,2,72,Sedge/Herbaceuous,#C9C977,2,medium,#a1d99b,0,
135,002723,Waterbody,Wetland,2,72,Sedge/Herbaceuous,#C9C977,3,high,#31a354,1,
136,002730,Waterbody,Wetland,2,73,Lichens,#99C147,0,none,#ffffff,0,
137,002731,Waterbody,Wetland,2,73,Lichens,#99C147,1,low,#e5f5e0,0,
138,002732,Waterbody,Wetland,2,73,Lichens,#99C147,2,medium,#a1d99b,0,
139,002733,Waterbody,Wetland,2,73,Lichens,#99C147,3,high,#31a354,1,
140,002740,Waterbody,Wetland,2,74,Moss,#77AD93,0,none,#ffffff,0,
141,002741,Waterbody,Wetland,2,74,Moss,#77AD93,1,low,#e5f5e0,0,
142,002742,Waterbody,Wetland,2,74,Moss,#77AD93,2,medium,#a1d99b,0,
143,002743,Waterbody,Wetland,2,74,Moss,#77AD93,3,high,#31a354,1,
144,002810,Waterbody,Wetland,2,81,Pasture/Hay,#DBD83D,0,none,#ffffff,0,2230
145,002811,Waterbody,Wetland,2,81,Pasture/Hay,#DBD83D,1,low,#e5f5e0,0,2230
146,002812,Waterbody,Wetland,2,81,Pasture/Hay,#DBD83D,2,medium,#a1d99b,0,2230
147,002813,Waterbody,Wetland,2,81,Pasture/Hay,#DBD83D,3,high,#31a354,1,2230
148,002820,Waterbody,Wetland,2,82,Cultivated Crops,#AA7028,0,none,#ffffff,0,2230
149,002821,Waterbody,Wetland,2,82,Cultivated Crops,#AA7028,1,low,#e5f5e0,0,2230
150,002822,Waterbody,Wetland,2,82,Cultivated Crops,#AA7028,2,medium,#a1d99b,0,2230
151,002823,Waterbody,Wetland,2,82,Cultivated Crops,#AA7028,3,high,#31a354,1,2230
152,002900,Waterbody,Wetland,2,90,Woody Wetlands,#BAD8EA,0,none,#ffffff,1,2230
153,002901,Waterbody,Wetland,2,90,Woody Wetlands,#BAD8EA,1,low,#e5f5e0,1,2230
154,002902,Waterbody,Wetland,2,90,Woody Wetlands,#BAD8EA,2,medium,#a1d99b,1,2230
155,002903,Waterbody,Wetland,2,90,Woody Wetlands,#BAD8EA,3,high,#31a354,1,2230
156,002950,Waterbody,Wetland,2,95,Emergent Herbaceous Wetlands,#70A3BA,0,none,#ffffff,1,2230
157,002951,Waterbody,Wetland,2,95,Emergent Herbaceous Wetlands,#70A3BA,1,low,#e5f5e0,1,2230
158,002952,Waterbody,Wetland,2,95,Emergent Herbaceous Wetlands,#70A3BA,2,medium,#a1d99b,1,2230
159,002953,Waterbody,Wetland,2,95,Emergent Herbaceous Wetlands,#70A3BA,3,high,#31a354,1,2230
160,003110,Waterbody,Artificial,3,11,Open Water,#476BA0,0,none,#ffffff,0,2230
161,003111,Waterbody,Artificial,3,11,Open Water,#476BA0,1,low,#e5f5e0,0,2230
162,003112,Waterbody,Artificial,3,11,Open Water,#476BA0,2,medium,#a1d99b,0,2230
163,003113,Waterbody,Artificial,3,11,Open Water,#476BA0,3,high,#31a354,1,2230
164,003120,Waterbody,Artificial,3,12,Perennial Ice/Snow,#D1DDF9,0,none,#ffffff,0,2230
165,003121,Waterbody,Artificial,3,12,Perennial Ice/Snow,#D1DDF9,1,low,#e5f5e0,0,2230
166,003122,Waterbody,Artificial,3,12,Perennial Ice/Snow,#D1DDF9,2,medium,#a1d99b,0,2230
167,003123,Waterbody,Artificial,3,12,Perennial Ice/Snow,#D1DDF9,3,high,#31a354,1,2230
168,003210,Waterbody,Artificial,3,21,"Developed, Open Space",#DDC9C9,0,none,#ffffff,0,2230
169,003211,Waterbody,Artificial,3,21,"Developed, Open Space",#DDC9C9,1,low,#e5f5e0,0,2230
170,003212,Waterbody,Artificial,3,21,"Developed, Open Space",#DDC9C9,2,medium,#a1d99b,0,2230
171,003213,Waterbody,Artificial,3,21,"Developed, Open Space",#DDC9C9,3,high,#31a354,1,2230
172,003220,Waterbody,Artificial,3,22,"Developed, Low Intensity",#D89382,0,none,#ffffff,0,2230
173,003221,Waterbody,Artificial,3,22,"Developed, Low Intensity",#D89382,1,low,#e5f5e0,0,2230
174,003222,Waterbody,Artificial,3,22,"Developed, Low Intensity",#D89382,2,medium,#a1d99b,0,2230
175,003223,Waterbody,Artificial,3,22,"Developed, Low Intensity",#D89382,3,high,#31a354,1,2230
176,003230,Waterbody,Artificial,3,23,"Developed, Medium Intensity",#ED0000,0,none,#ffffff,0,2230
177,003231,Waterbody,Artificial,3,23,"Developed, Medium Intensity",#ED0000,1,low,#e5f5e0,0,2230
178,003232,Waterbody,Artificial,3,23,"Developed, Medium Intensity",#ED0000,2,medium,#a1d99b,0,2230
179,003233,Waterbody,Artificial,3,23,"Developed, Medium Intensity",#ED0000,3,high,#31a354,1,2230
180,003240,Waterbody,Artificial,3,24,"Developed, High Intensity",#AA0000,0,none,#ffffff,0,2230
181,003241,Waterbody,Artificial,3,24,"Developed, High Intensity",#AA0000,1,low,#e5f5e0,0,2230
182,003242,Waterbody,Artificial,3,24,"Developed, High Intensity",#AA0000,2,medium,#a1d99b,0,2230
183,003243,Waterbody,Artificial,3,24,"Developed, High Intensity",#AA0000,3,high,#31a354,1,2230
184,003310,Waterbody,Artificial,3,31,Barren Land (Rock/Sand/Clay),#B2ADA3,0,none,#ffffff,0,2230
185,003311,Waterbody,Artificial,3,31,Barren Land (Rock/Sand/Clay),#B2ADA3,1,low,#e5f5e0,0,2230
186,003312,Waterbody,Artificial,3,31,Barren Land (Rock/Sand/Clay),#B2ADA3,2,medium,#a1d99b,0,2230
187,003313,Waterbody,Artificial,3,31,Barren Land (Rock/Sand/Clay),#B2ADA3,3,high,#31a354,1,2230
188,003410,Waterbody,Artificial,3,41,Deciduous Forest,#68AA63,0,none,#ffffff,1,2230
189,003411,Waterbody,Artificial,3,41,Deciduous Forest,#68AA63,1,low,#e5f5e0,1,2230
190,003412,Waterbody,Artificial,3,41,Deciduous Forest,#68AA63,2,medium,#a1d99b,1,2230
191,003413,Waterbody,Artificial,3,41,Deciduous Forest,#68AA63,3,high,#31a354,1,2230
192,003420,Waterbody,Artificial,3,42,Evergreen Forest,#1C6330,0,none,#ffffff,1,2230
193,003421,Waterbody,Artificial,3,42,Evergreen Forest,#1C6330,1,low,#e5f5e0,1,2230
194,003422,Waterbody,Artificial,3,42,Evergreen Forest,#1C6330,2,medium,#a1d99b,1,2230
195,003423,Waterbody,Artificial,3,42,Evergreen Forest,#1C6330,3,high,#31a354,1,2230
196,003430,Waterbody,Artificial,3,43,Mixed Forest,#B5C98E,0,none,#ffffff,1,2230
197,003431,Waterbody,Artificial,3,43,Mixed Forest,#B5C98E,1,low,#e5f5e0,1,2230
198,003432,Waterbody,Artificial,3,43,Mixed Forest,#B5C98E,2,medium,#a1d99b,1,2230
199,003433,Waterbody,Artificial,3,43,Mixed Forest,#B5C98E,3,high,#31a354,1,2230
200,003510,Waterbody,Artificial,3,51,Dwarf Scrub,#A58C30,0,none,#ffffff,0,
201,003511,Waterbody,Artificial,3,51,Dwarf Scrub,#A58C30,1,low,#e5f5e0,0,
202,003512,Waterbody,Artificial,3,51,Dwarf Scrub,#A58C30,2,medium,#a1d99b,0,
203,003513,Waterbody,Artificial,3,51,Dwarf Scrub,#A58C30,3,high,#31a354,1,
204,003520,Waterbody,Artificial,3,52,Scrub/Shrub,#CCBA7C,0,none,#ffffff,1,2230
205,003521,Waterbody,Artificial,3,52,Scrub/Shrub,#CCBA7C,1,low,#e5f5e0,1,2230
206,003522,Waterbody,Artificial,3,52,Scrub/Shrub,#CCBA7C,2,medium,#a1d99b,1,2230
207,003523,Waterbody,Artificial,3,52,Scrub/Shrub,#CCBA7C,3,high,#31a354,1,2230
208,003710,Waterbody,Artificial,3,71,Grassland/Herbaceous,#E2E2C1,0,none,#ffffff,1,2230
209,003711,Waterbody,Artificial,3,71,Grassland/Herbaceous,#E2E2C1,1,low,#e5f5e0,1,2230
210,003712,Waterbody,Artificial,3,71,Grassland/Herbaceous,#E2E2C1,2,medium,#a1d99b,1,2230
211,003713,Waterbody,Artificial,3,71,Grassland/Herbaceous,#E2E2C1,3,high,#31a354,1,2230
212,003720,Waterbody,Artificial,3,72,Sedge/Herbaceuous,#C9C977,0,none,#ffffff,0,
213,003721,Waterbody,Artificial,3,72,Sedge/Herbaceuous,#C9C977,1,low,#e5f5e0,0,
214,003722,Waterbody,Artificial,3,72,Sedge/Herbaceuous,#C9C977,2,medium,#a1d99b,0,
215,003723,Waterbody,Artificial,3,72,Sedge/Herbaceuous,#C9C977,3,high,#31a354,1,
216,003730,Waterbody,Artificial,3,73,Lichens,#99C147,0,none,#ffffff,0,
217,003731,Waterbody,Artificial,3,73,Lichens,#99C147,1,low,#e5f5e0,0,
218,003732,Waterbody,Artificial,3,73,Lichens,#99C147,2,medium,#a1d99b,0,
219,003733,Waterbody,Artificial,3,73,Lichens,#99C147,3,high,#31a354,1,
220,003740,Waterbody,Artificial,3,74,Moss,#77AD93,0,none,#ffffff,0,
221,003741,Waterbody,Artificial,3,74,Moss,#77AD93,1,low,#e5f5e0,0,
222,003742,Waterbody,Artificial,3,74,Moss,#77AD93,2,medium,#a1d99b,0,
223,003743,Waterbody,Artificial,3,74,Moss,#77AD93,3,high,#31a354,1,
224,003810,Waterbody,Artificial,3,81,Pasture/Hay,#DBD83D,0,none,#ffffff,0,2230
225,003811,Waterbody,Artificial,3,81,Pasture/Hay,#DBD83D,1,low,#e5f5e0,0,2230
226,003812,Waterbody,Artificial,3,81,Pasture/Hay,#DBD83D,2,medium,#a1d99b,0,2230
227,003813,Waterbody,Artificial,3,81,Pasture/Hay,#DBD83D,3,high,#31a354,1,2230
228,003820,Waterbody,Artificial,3,82,Cultivated Crops,#AA7028,0,none,#ffffff,0,2230
229,003821,Waterbody,Artificial,3,82,Cultivated Crops,#AA7028,1,low,#e5f5e0,0,2230
230,003822,Waterbody,Artificial,3,82,Cultivated Crops,#AA7028,2,medium,#a1d99b,0,2230
231,003823,Waterbody,Artificial,3,82,Cultivated Crops,#AA7028,3,high,#31a354,1,2230
232,003900,Waterbody,Artificial,3,90,Woody Wetlands,#BAD8EA,0,none,#ffffff,1,2230
233,003901,Waterbody,Artificial,3,90,Woody Wetlands,#BAD8EA,1,low,#e5f5e0,1,2230
234,003902,Waterbody,Artificial,3,90,Woody Wetlands,#BAD8EA,2,medium,#a1d99b,1,2230
235,003903,Waterbody,Artificial,3,90,Woody Wetlands,#BAD8EA,3,high,#31a354,1,2230
236,003950,Waterbody,Artificial,3,95,Emergent Herbaceous Wetlands,#70A3BA,0,none,#ffffff,1,2230
237,003951,Waterbody,Artificial,3,95,Emergent Herbaceous Wetlands,#70A3BA,1,low,#e5f5e0,1,2230
238,003952,Waterbody,Artificial,3,95,Emergent Herbaceous Wetlands,#70A3BA,2,medium,#a1d99b,1,2230
239,003953,Waterbody,Artificial,3,95,Emergent Herbaceous Wetlands,#70A3BA,3,high,#31a354,1,2230
240,004110,Waterbody,Perennial Ice/Snow,4,11,Open Water,#476BA0,0,none,#ffffff,0,2230
241,004111,Waterbody,Perennial Ice/Snow,4,11,Open Water,#476BA0,1,low,#e5f5e0,0,2230
242,004112,Waterbody,Perennial Ice/Snow,4,11,Open Water,#476BA0,2,medium,#a1d99b,0,2230
243,004113,Waterbody,Perennial Ice/Snow,4,11,Open Water,#476BA0,3,high,#31a354,1,2230
244,004120,Waterbody,Perennial Ice/Snow,4,12,Perennial Ice/Snow,#D1DDF9,0,none,#ffffff,0,2230
245,004121,Waterbody,Perennial Ice/Snow,4,12,Perennial Ice/Snow,#D1DDF9,1,low,#e5f5e0,0,2230
246,004122,Waterbody,Perennial Ice/Snow,4,12,Perennial Ice/Snow,#D1DDF9,2,medium,#a1d99b,0,2230
247,004123,Waterbody,Perennial Ice/Snow,4,12,Perennial Ice/Snow,#D1DDF9,3,high,#31a354,1,2230
248,004210,Waterbody,Perennial Ice/Snow,4,21,"Developed, Open Space",#DDC9C9,0,none,#ffffff,0,2230
249,004211,Waterbody,Perennial Ice/Snow,4,21,"Developed, Open Space",#DDC9C9,1,low,#e5f5e0,0,2230
250,004212,Waterbody,Perennial Ice/Snow,4,21,"Developed, Open Space",#DDC9C9,2,medium,#a1d99b,0,2230
251,004213,Waterbody,Perennial Ice/Snow,4,21,"Developed, Open Space",#DDC9C9,3,high,#31a354,1,2230
252,004220,Waterbody,Perennial Ice/Snow,4,22,"Developed, Low Intensity",#D89382,0,none,#ffffff,0,2230
253,004221,Waterbody,Perennial Ice/Snow,4,22,"Developed, Low Intensity",#D89382,1,low,#e5f5e0,0,2230
254,004222,Waterbody,Perennial Ice/Snow,4,22,"Developed, Low Intensity",#D89382,2,medium,#a1d99b,0,2230
255,004223,Waterbody,Perennial Ice/Snow,4,22,"Developed, Low Intensity",#D89382,3,high,#31a354,1,2230
256,004230,Waterbody,Perennial Ice/Snow,4,23,"Developed, Medium Intensity",#ED0000,0,none,#ffffff,0,2230
257,004231,Waterbody,Perennial Ice/Snow,4,23,"Developed, Medium Intensity",#ED0000,1,low,#e5f5e0,0,2230
258,004232,Waterbody,Perennial Ice/Snow,4,23,"Developed, Medium Intensity",#ED0000,2,medium,#a1d99b,0,2230
259,004233,Waterbody,Perennial Ice/Snow,4,23,"Developed, Medium Intensity",#ED0000,3,high,#31a354,1,2230
260,004240,Waterbody,Perennial Ice/Snow,4,24,"Developed, High Intensity",#AA0000,0,none,#ffffff,0,2230
261,004241,Waterbody,Perennial Ice/Snow,4,24,"Developed, High Intensity",#AA0000,1,low,#e5f5e0,0,2230
262,004242,Waterbody,Perennial Ice/Snow,4,24,"Developed, High Intensity",#AA0000,2,medium,#a1d99b,0,2230
