city,t_01,t_10,t_mmtp,t_90,t_99,rr_01,rr_10,rr_mmtp,rr_90,rr_99
"Ottawa, Canada",-20.7,-10.4,17,21.2,25.9,1.11,1.11,1,1.029411765,1.05
"Montreal, Canada",-19.8,-9.8,17.1,21.4,26.1,0.99,0.942857143,1,1.090909091,1.2
"Sudbury, Canada",-23.4,-13.1,15,19.4,24.4,1,1.020408163,1,1,1
"St_john_NFL, Canada",-12.5,-5.9,11.8,16.5,21.1,1.19,1.252631579,1,1.009615385,1.05
"Thunder bay, Canada",-24.5,-14.6,13.4,17.7,22.9,1.06,1.00952381,1,1.049019608,1.07
"Victoria, Canada",-1.5,3.5,14.6,17,20.7,1.03,1.04040404,1,0.979591837,0.96
"Abbotsford, Canada",-4.3,3,15.7,18.6,22.8,0.88,0.862745098,1,0.989010989,0.9
"Vancouver, Canada",-2.8,3.2,15.4,18.1,21.4,1.1,1.1,1,1,1.02
"Winnipeg, Canada",-28.7,-17.7,15.4,20,25,1.21,1.12037037,1,1,1.04
"Regina, Canada",-29.3,-16,14.5,19,24.4,0.99,0.99,1,1.010309278,0.98
"Calgary, Canada",-24.6,-9.5,13,16.8,21.5,0.99,0.970588235,1,0.936842105,0.89
"Saskatoon, Canada",-30.3,-16.8,14.1,18.5,24,0.9,0.909090909,1,1.100917431,1.2
"Edmonton, Canada",-26.4,-12.3,14,17.9,22.9,1.11,1.099009901,1,1.019230769,1.06
